,tijdstip;locatie;component;waarde;LKI
2019-01-02 02:00:00+01:00;Amsterdam-Vondelpark;FN;0,14;1
2019-01-02 02:00:00+01:00;Amsterdam-Vondelpark;PM10;34,9;4
2019-01-02 02:00:00+01:00;Amsterdam-Vondelpark;PM25;8,1;1
2019-01-02 02:00:00+01:00;Amsterdam-Vondelpark;NO2;5,5;1
2019-01-02 02:00:00+01:00;Amsterdam-Vondelpark;CO;200,2;1
2019-01-02 03:00:00+01:00;Amsterdam-Vondelpark;CO;190,9;1
2019-01-02 03:00:00+01:00;Amsterdam-Vondelpark;NO;0,2;1
2019-01-02 03:00:00+01:00;Amsterdam-Vondelpark;O3;75,3;5
2019-01-02 03:00:00+01:00;Amsterdam-Vondelpark;FN;0,13;1
2019-01-02 03:00:00+01:00;Amsterdam-Vondelpark;PM10;25,8;3
2019-01-02 03:00:00+01:00;Amsterdam-Vondelpark;PM25;9,2;1
2019-01-02 03:00:00+01:00;Amsterdam-Vondelpark;NO2;4,7;1
2019-01-02 04:00:00+01:00;Amsterdam-Vondelpark;FN;0,12;1
2019-01-02 04:00:00+01:00;Amsterdam-Vondelpark;PM10;23,9;3
2019-01-02 04:00:00+01:00;Amsterdam-Vondelpark;PM25;8,5;1
2019-01-02 04:00:00+01:00;Amsterdam-Vondelpark;NO2;3,9;1
2019-01-02 04:00:00+01:00;Amsterdam-Vondelpark;CO;195,4;1
2019-01-02 04:00:00+01:00;Amsterdam-Vondelpark;NO;-0,1;1
2019-01-02 04:00:00+01:00;Amsterdam-Vondelpark;O3;73,4;5
2019-01-02 05:00:00+01:00;Amsterdam-Vondelpark;CO;199,2;1
2019-01-02 05:00:00+01:00;Amsterdam-Vondelpark;NO;0,2;1
2019-01-02 05:00:00+01:00;Amsterdam-Vondelpark;O3;73,0;5
2019-01-02 05:00:00+01:00;Amsterdam-Vondelpark;FN;0,12;1
2019-01-02 05:00:00+01:00;Amsterdam-Vondelpark;PM10;26,7;3
2019-01-02 05:00:00+01:00;Amsterdam-Vondelpark;PM25;4,3;1
2019-01-02 05:00:00+01:00;Amsterdam-Vondelpark;NO2;3,6;1
2019-01-02 06:00:00+01:00;Amsterdam-Vondelpark;O3;70,0;5
2019-01-02 06:00:00+01:00;Amsterdam-Vondelpark;PM10;24,2;3
2019-01-02 06:00:00+01:00;Amsterdam-Vondelpark;PM25;6,5;1
2019-01-02 06:00:00+01:00;Amsterdam-Vondelpark;CO;207,4;1
2019-01-02 06:00:00+01:00;Amsterdam-Vondelpark;NO;0,3;1
2019-01-02 06:00:00+01:00;Amsterdam-Vondelpark;FN;0,13;1
2019-01-02 06:00:00+01:00;Amsterdam-Vondelpark;NO2;6,8;1
2019-01-02 07:00:00+01:00;Amsterdam-Vondelpark;PM25;9,7;1
2019-01-02 07:00:00+01:00;Amsterdam-Vondelpark;CO;213,7;1
2019-01-02 07:00:00+01:00;Amsterdam-Vondelpark;NO;0,2;1
2019-01-02 07:00:00+01:00;Amsterdam-Vondelpark;O3;64,9;5
2019-01-02 07:00:00+01:00;Amsterdam-Vondelpark;FN;0,19;1
2019-01-02 07:00:00+01:00;Amsterdam-Vondelpark;NO2;11,8;2
2019-01-02 07:00:00+01:00;Amsterdam-Vondelpark;PM10;27,6;3
2019-01-02 08:00:00+01:00;Amsterdam-Vondelpark;PM25;8,3;1
2019-01-02 08:00:00+01:00;Amsterdam-Vondelpark;CO;249,2;1
2019-01-02 08:00:00+01:00;Amsterdam-Vondelpark;NO;0,9;1
2019-01-02 08:00:00+01:00;Amsterdam-Vondelpark;O3;57,2;4
2019-01-02 08:00:00+01:00;Amsterdam-Vondelpark;FN;0,33;1
2019-01-02 08:00:00+01:00;Amsterdam-Vondelpark;PM10;22,6;3
2019-01-02 08:00:00+01:00;Amsterdam-Vondelpark;NO2;19,6;2
2019-01-02 09:00:00+01:00;Amsterdam-Vondelpark;FN;0,33;1
2019-01-02 09:00:00+01:00;Amsterdam-Vondelpark;CO;238,3;1
2019-01-02 09:00:00+01:00;Amsterdam-Vondelpark;NO;1,9;1
2019-01-02 09:00:00+01:00;Amsterdam-Vondelpark;O3;53,4;4
2019-01-02 09:00:00+01:00;Amsterdam-Vondelpark;PM10;13,0;2
2019-01-02 09:00:00+01:00;Amsterdam-Vondelpark;PM25;5,8;1
2019-01-02 09:00:00+01:00;Amsterdam-Vondelpark;NO2;23,8;3
2019-01-02 10:00:00+01:00;Amsterdam-Vondelpark;CO;242,1;1
2019-01-02 10:00:00+01:00;Amsterdam-Vondelpark;NO;2,3;1
2019-01-02 10:00:00+01:00;Amsterdam-Vondelpark;O3;53,4;4
2019-01-02 10:00:00+01:00;Amsterdam-Vondelpark;FN;0,37;1
2019-01-02 10:00:00+01:00;Amsterdam-Vondelpark;PM10;18,9;2
2019-01-02 10:00:00+01:00;Amsterdam-Vondelpark;PM25;6,6;1
2019-01-02 10:00:00+01:00;Amsterdam-Vondelpark;NO2;26,0;3
2019-01-02 11:00:00+01:00;Amsterdam-Vondelpark;CO;226,5;1
2019-01-02 11:00:00+01:00;Amsterdam-Vondelpark;NO;2,2;1
2019-01-02 11:00:00+01:00;Amsterdam-Vondelpark;O3;60,9;5
2019-01-02 11:00:00+01:00;Amsterdam-Vondelpark;FN;0,36;1
2019-01-02 11:00:00+01:00;Amsterdam-Vondelpark;PM10;20,7;3
2019-01-02 11:00:00+01:00;Amsterdam-Vondelpark;PM25;7,7;1
2019-01-02 11:00:00+01:00;Amsterdam-Vondelpark;NO2;21,1;3
2019-01-02 12:00:00+01:00;Amsterdam-Vondelpark;NO;2,2;1
2019-01-02 12:00:00+01:00;Amsterdam-Vondelpark;CO;292,1;2
2019-01-02 12:00:00+01:00;Amsterdam-Vondelpark;O3;57,4;4
2019-01-02 12:00:00+01:00;Amsterdam-Vondelpark;FN;0,47;1
2019-01-02 12:00:00+01:00;Amsterdam-Vondelpark;PM10;25,1;3
2019-01-02 12:00:00+01:00;Amsterdam-Vondelpark;PM25;7,9;1
2019-01-02 12:00:00+01:00;Amsterdam-Vondelpark;NO2;25,5;3
2019-01-02 13:00:00+01:00;Amsterdam-Vondelpark;CO;272,8;2
2019-01-02 13:00:00+01:00;Amsterdam-Vondelpark;NO;2,3;1
2019-01-02 13:00:00+01:00;Amsterdam-Vondelpark;O3;61,3;5
2019-01-02 13:00:00+01:00;Amsterdam-Vondelpark;FN;0,41;1
2019-01-02 13:00:00+01:00;Amsterdam-Vondelpark;PM10;31,5;4
2019-01-02 13:00:00+01:00;Amsterdam-Vondelpark;PM25;8,5;1
2019-01-02 13:00:00+01:00;Amsterdam-Vondelpark;NO2;23,1;3
2019-01-02 14:00:00+01:00;Amsterdam-Vondelpark;CO;294,9;2
2019-01-02 14:00:00+01:00;Amsterdam-Vondelpark;NO;2,2;1
2019-01-02 14:00:00+01:00;Amsterdam-Vondelpark;O3;60,1;5
2019-01-02 14:00:00+01:00;Amsterdam-Vondelpark;FN;0,38;1
2019-01-02 14:00:00+01:00;Amsterdam-Vondelpark;PM10;28,4;3
2019-01-02 14:00:00+01:00;Amsterdam-Vondelpark;PM25;10,6;2
2019-01-02 14:00:00+01:00;Amsterdam-Vondelpark;NO2;26,2;3
2019-01-02 15:00:00+01:00;Amsterdam-Vondelpark;NO;2,8;1
2019-01-02 15:00:00+01:00;Amsterdam-Vondelpark;CO;276,4;2
2019-01-02 15:00:00+01:00;Amsterdam-Vondelpark;O3;54,2;4
2019-01-02 15:00:00+01:00;Amsterdam-Vondelpark;FN;0,52;1
2019-01-02 15:00:00+01:00;Amsterdam-Vondelpark;PM10;28,5;3
2019-01-02 15:00:00+01:00;Amsterdam-Vondelpark;PM25;10,5;2
2019-01-02 15:00:00+01:00;Amsterdam-Vondelpark;NO2;30,0;4
2019-01-02 16:00:00+01:00;Amsterdam-Vondelpark;NO;3,0;1
2019-01-02 16:00:00+01:00;Amsterdam-Vondelpark;CO;283,3;2
2019-01-02 16:00:00+01:00;Amsterdam-Vondelpark;O3;46,3;4
2019-01-02 16:00:00+01:00;Amsterdam-Vondelpark;FN;0,67;1
2019-01-02 16:00:00+01:00;Amsterdam-Vondelpark;PM10;30,0;4
2019-01-02 16:00:00+01:00;Amsterdam-Vondelpark;PM25;8,6;1
2019-01-02 16:00:00+01:00;Amsterdam-Vondelpark;NO2;37,9;4
2019-01-02 17:00:00+01:00;Amsterdam-Vondelpark;NO;1,7;1
2019-01-02 17:00:00+01:00;Amsterdam-Vondelpark;CO;297,4;2
2019-01-02 17:00:00+01:00;Amsterdam-Vondelpark;O3;50,8;4
2019-01-02 17:00:00+01:00;Amsterdam-Vondelpark;FN;0,59;1
2019-01-02 17:00:00+01:00;Amsterdam-Vondelpark;PM10;23,3;3
2019-01-02 17:00:00+01:00;Amsterdam-Vondelpark;PM25;7,2;1
2019-01-02 17:00:00+01:00;Amsterdam-Vondelpark;NO2;34,3;4
2019-01-02 18:00:00+01:00;Amsterdam-Vondelpark;PM25;8,3;1
2019-01-02 18:00:00+01:00;Amsterdam-Vondelpark;CO;328,8;2
2019-01-02 18:00:00+01:00;Amsterdam-Vondelpark;NO;1,4;1
2019-01-02 18:00:00+01:00;Amsterdam-Vondelpark;O3;55,2;4
2019-01-02 18:00:00+01:00;Amsterdam-Vondelpark;FN;0,55;1
2019-01-02 18:00:00+01:00;Amsterdam-Vondelpark;PM10;23,5;3
2019-01-02 18:00:00+01:00;Amsterdam-Vondelpark;NO2;30,2;4
2019-01-02 19:00:00+01:00;Amsterdam-Vondelpark;NO2;34,5;4
2019-01-02 19:00:00+01:00;Amsterdam-Vondelpark;CO;354,1;2
2019-01-02 19:00:00+01:00;Amsterdam-Vondelpark;NO;1,6;1
2019-01-02 19:00:00+01:00;Amsterdam-Vondelpark;O3;50,6;4
